796,0.58,0.61,0.47,0.13,0.50,0.00,0.48,0.22,10
661,0.43,0.67,0.48,0.27,0.50,0.00,0.53,0.22,10
754,0.64,0.62,0.49,0.15,0.50,0.00,0.53,0.22,10
1243,0.58,0.44,0.57,0.13,0.50,0.00,0.54,0.22,5
456,0.42,0.44,0.48,0.54,0.50,0.00,0.48,0.22,10
1392,0.51,0.40,0.56,0.17,0.50,0.50,0.49,0.22,3
1066,0.50,0.54,0.48,0.65,0.50,0.00,0.53,0.22,10
1420,0.48,0.45,0.59,0.20,0.50,0.00,0.58,0.34,5
1280,0.55,0.50,0.66,0.36,0.50,0.00,0.49,0.22,10
1315,0.40,0.39,0.60,0.15,0.50,0.00,0.58,0.30,3
733,0.43,0.39,0.54,0.21,0.50,0.00,0.53,0.27,5
587,0.42,0.37,0.59,0.20,0.50,0.00,0.52,0.29,5
709,0.40,0.42,0.57,0.35,0.50,0.00,0.53,0.25,3
1177,0.60,0.40,0.52,0.46,0.50,0.00,0.53,0.22,10
1103,0.66,0.55,0.45,0.19,0.50,0.00,0.46,0.22,10
790,0.46,0.44,0.52,0.11,0.50,0.00,0.50,0.22,3
457,0.47,0.39,0.50,0.11,0.50,0.00,0.49,0.40,3
455,0.58,0.47,0.54,0.11,0.50,0.00,0.51,0.26,5
365,0.50,0.34,0.55,0.21,0.50,0.00,0.49,0.22,5
937,0.61,0.60,0.55,0.21,0.50,0.00,0.50,0.25,5
786,0.45,0.40,0.50,0.16,0.50,0.00,0.50,0.22,3
944,0.43,0.44,0.48,0.22,0.50,0.00,0.51,0.22,3
4,0.73,0.63,0.42,0.30,0.50,0.00,0.49,0.22,3
1167,0.43,0.53,0.52,0.13,0.50,0.00,0.55,0.22,3
1292,0.46,0.53,0.52,0.15,0.50,0.00,0.58,0.22,3
464,0.51,0.51,0.52,0.51,0.50,0.00,0.54,0.22,10
984,0.59,0.45,0.53,0.19,0.50,0.00,0.59,0.27,3
412,0.57,0.47,0.60,0.18,0.50,0.00,0.51,0.22,3
897,0.63,0.67,0.57,0.24,0.50,0.00,0.49,0.22,10
680,0.80,0.88,0.36,0.39,0.50,0.00,0.56,0.33,6
578,0.53,0.54,0.43,0.10,0.50,0.00,0.57,0.32,5
60,0.51,0.51,0.43,0.87,0.50,0.00,0.52,0.22,10
369,0.38,0.61,0.61,0.12,0.50,0.00,0.53,0.47,3
367,0.33,0.55,0.51,0.43,0.50,0.00,0.51,0.22,5
506,0.78,0.74,0.42,0.26,0.50,0.00,0.43,0.22,6
631,0.74,0.67,0.47,0.34,0.50,0.00,0.42,0.22,1
1089,0.72,0.61,0.45,0.30,0.50,0.00,0.54,0.25,10
570,0.40,0.45,0.57,0.18,0.50,0.00,0.56,0.26,3
